Config: rmsprop, lambda=1.0, batch size=32, epochs=2 with compactness and discriminative loss optimized

Using TensorFlow backend.
Reference model built
Secondary model built
Total number of iterations: 1329
Iteration 0, total loss: 10.060726165771484, discriminative loss: 9.974710464477539
Iteration 1, total loss: 8.054235458374023, discriminative loss: 8.03100872039795
Iteration 2, total loss: 15.764036178588867, discriminative loss: 15.762611389160156
Iteration 3, total loss: 9.18892765045166, discriminative loss: 9.188690185546875
Iteration 4, total loss: 7.079853057861328, discriminative loss: 7.07972526550293
Iteration 5, total loss: 6.957949638366699, discriminative loss: 6.957876205444336
Iteration 6, total loss: 6.972899436950684, discriminative loss: 6.972845077514648
Iteration 7, total loss: 6.94305419921875, discriminative loss: 6.9430084228515625
Iteration 8, total loss: 6.969803810119629, discriminative loss: 6.969770908355713
Iteration 9, total loss: 6.87082576751709, discriminative loss: 6.870790004730225
Iteration 10, total loss: 6.970082759857178, discriminative loss: 6.97005033493042
Iteration 11, total loss: 6.901998043060303, discriminative loss: 6.901960372924805
Iteration 12, total loss: 6.944684982299805, discriminative loss: 6.944657802581787
Iteration 13, total loss: 7.01284646987915, discriminative loss: 7.012825012207031
Iteration 14, total loss: 6.955539226531982, discriminative loss: 6.955517292022705
Iteration 15, total loss: 6.93299674987793, discriminative loss: 6.932987213134766
Iteration 16, total loss: 6.949936389923096, discriminative loss: 6.949913501739502
Iteration 17, total loss: 6.9565534591674805, discriminative loss: 6.956536293029785
Iteration 18, total loss: 6.9323930740356445, discriminative loss: 6.932378768920898
Iteration 19, total loss: 6.90970516204834, discriminative loss: 6.90968656539917
Iteration 20, total loss: 6.978574752807617, discriminative loss: 6.978562355041504
Iteration 21, total loss: 6.943853378295898, discriminative loss: 6.943841457366943
Iteration 22, total loss: 6.921516418457031, discriminative loss: 6.9215087890625
Iteration 23, total loss: 6.991663932800293, discriminative loss: 6.9916558265686035
Iteration 24, total loss: 6.989011287689209, discriminative loss: 6.989006042480469
Iteration 25, total loss: 6.864500999450684, discriminative loss: 6.864490985870361
Iteration 26, total loss: 6.882424831390381, discriminative loss: 6.882414817810059
Iteration 27, total loss: 6.9714579582214355, discriminative loss: 6.971447944641113
Iteration 28, total loss: 6.902100563049316, discriminative loss: 6.902090072631836
Iteration 29, total loss: 6.909830093383789, discriminative loss: 6.909822463989258
Iteration 30, total loss: 6.990640640258789, discriminative loss: 6.990634918212891
Iteration 31, total loss: 6.972621917724609, discriminative loss: 6.972617149353027
Iteration 32, total loss: 6.952994346618652, discriminative loss: 6.952988624572754
Iteration 33, total loss: 6.949796199798584, discriminative loss: 6.94979190826416
Iteration 34, total loss: 6.820645332336426, discriminative loss: 6.820638656616211
Iteration 35, total loss: 6.898276329040527, discriminative loss: 6.898270606994629
Iteration 36, total loss: 6.932816028594971, discriminative loss: 6.932812690734863
Iteration 37, total loss: 6.927862644195557, discriminative loss: 6.927860260009766
Iteration 38, total loss: 6.890837669372559, discriminative loss: 6.890830039978027
Iteration 39, total loss: 6.927337646484375, discriminative loss: 6.927334785461426
Iteration 40, total loss: 6.938561916351318, discriminative loss: 6.938557147979736
Iteration 41, total loss: 7.062021732330322, discriminative loss: 7.062017917633057
Iteration 42, total loss: 6.940603733062744, discriminative loss: 6.940596103668213
Iteration 43, total loss: 6.969473361968994, discriminative loss: 6.9694695472717285
Iteration 44, total loss: 6.855556488037109, discriminative loss: 6.855554103851318
Iteration 45, total loss: 6.945099353790283, discriminative loss: 6.945097923278809
Iteration 46, total loss: 6.962737083435059, discriminative loss: 6.962735176086426
Iteration 47, total loss: 6.963875770568848, discriminative loss: 6.963874816894531
Iteration 48, total loss: 6.95759916305542, discriminative loss: 6.957597732543945
Iteration 49, total loss: 6.925495624542236, discriminative loss: 6.925494194030762
Iteration 50, total loss: 6.9635009765625, discriminative loss: 6.963496685028076
Iteration 51, total loss: 6.8909478187561035, discriminative loss: 6.8909454345703125
Iteration 52, total loss: 6.877951622009277, discriminative loss: 6.877950668334961
Iteration 53, total loss: 6.97762393951416, discriminative loss: 6.977622985839844
Iteration 54, total loss: 7.037874221801758, discriminative loss: 7.037873268127441
Iteration 55, total loss: 6.954765319824219, discriminative loss: 6.9547648429870605
Iteration 56, total loss: 7.003615856170654, discriminative loss: 7.00361442565918
Iteration 57, total loss: 6.923795700073242, discriminative loss: 6.923793315887451
Iteration 58, total loss: 6.917877674102783, discriminative loss: 6.917876720428467
Iteration 59, total loss: 7.07400369644165, discriminative loss: 7.074003219604492
Iteration 60, total loss: 7.025868892669678, discriminative loss: 7.025867462158203
Iteration 61, total loss: 6.938409805297852, discriminative loss: 6.938408851623535
Iteration 62, total loss: 6.947829723358154, discriminative loss: 6.9478278160095215
Iteration 63, total loss: 6.880405426025391, discriminative loss: 6.880404472351074
Iteration 64, total loss: 6.90274715423584, discriminative loss: 6.902746200561523
Iteration 65, total loss: 6.920874118804932, discriminative loss: 6.920873641967773
Iteration 66, total loss: 6.925729751586914, discriminative loss: 6.925729274749756
Iteration 67, total loss: 6.987203598022461, discriminative loss: 6.987203121185303
Iteration 68, total loss: 6.967799663543701, discriminative loss: 6.967798709869385
Iteration 69, total loss: 6.916591644287109, discriminative loss: 6.916590690612793
Iteration 70, total loss: 6.882305145263672, discriminative loss: 6.882303237915039
Iteration 71, total loss: 6.8263654708862305, discriminative loss: 6.826364040374756
Iteration 72, total loss: 6.939351558685303, discriminative loss: 6.9393510818481445
Iteration 73, total loss: 6.967770576477051, discriminative loss: 6.967767715454102
