Using SGD, 64 batch size, 2 epochs, without normalization and only optimizing compactness loss


Reference model built
Secondary model built
Total number of iterations: 664
Iteration 0, total loss: 3.7521848678588867, discriminative loss: 14.715536117553711
Iteration 1, total loss: 1.011538028717041, discriminative loss: 7.183908462524414
Iteration 2, total loss: 1.0076459646224976, discriminative loss: 7.1762895584106445
Iteration 3, total loss: 1.0064427852630615, discriminative loss: 7.249814033508301
Iteration 4, total loss: 1.0057777166366577, discriminative loss: 7.156880855560303
Iteration 5, total loss: 1.0051149129867554, discriminative loss: 7.488752365112305
Iteration 6, total loss: 1.0053776502609253, discriminative loss: 7.180891990661621
Iteration 7, total loss: 1.0042365789413452, discriminative loss: 6.936239242553711
Iteration 8, total loss: 1.003885269165039, discriminative loss: 7.223756313323975
Iteration 9, total loss: 1.0035269260406494, discriminative loss: 7.16557502746582
Iteration 10, total loss: 1.0046035051345825, discriminative loss: 7.143733978271484
Iteration 11, total loss: 1.0038419961929321, discriminative loss: 7.178157806396484
Iteration 12, total loss: 1.0043394565582275, discriminative loss: 7.231014728546143
Iteration 13, total loss: 1.003834843635559, discriminative loss: 7.209550380706787
Iteration 14, total loss: 1.0036081075668335, discriminative loss: 7.265549182891846
Iteration 15, total loss: 1.0035700798034668, discriminative loss: 7.164685249328613
Iteration 16, total loss: 1.0032168626785278, discriminative loss: 7.170468807220459
Iteration 17, total loss: 1.0026293992996216, discriminative loss: 7.111781120300293
Iteration 18, total loss: 1.0025951862335205, discriminative loss: 7.217461109161377
Iteration 19, total loss: 1.0026895999908447, discriminative loss: 7.052105903625488
Iteration 20, total loss: 1.0024908781051636, discriminative loss: 7.178797245025635
Iteration 21, total loss: 1.0021775960922241, discriminative loss: 7.104465484619141
Iteration 22, total loss: 1.0020637512207031, discriminative loss: 7.205400466918945
Iteration 23, total loss: 1.0021241903305054, discriminative loss: 7.106727600097656
Iteration 24, total loss: 1.0018653869628906, discriminative loss: 7.113400936126709
Iteration 25, total loss: 1.0019676685333252, discriminative loss: 7.086345672607422
Iteration 26, total loss: 1.0021103620529175, discriminative loss: 7.173624038696289
