Using SGD, 64 batch size, 2 epochs, with images normalized
Trained only on compactness loss


Using TensorFlow backend.
Reference model built
Secondary model built
Total number of iterations: 664
Iteration 0, total loss: 0.0830497220158577, discriminative loss: 8.111093521118164
Iteration 1, total loss: 0.06700926274061203, discriminative loss: 7.894895553588867
Iteration 2, total loss: 0.054796092212200165, discriminative loss: 7.516974449157715
Iteration 3, total loss: 0.04632802680134773, discriminative loss: 7.548706531524658
Iteration 4, total loss: 0.04007478803396225, discriminative loss: 8.048232078552246
Iteration 5, total loss: 0.03586404025554657, discriminative loss: 7.906126499176025
Iteration 6, total loss: 0.03067183867096901, discriminative loss: 7.899701118469238
Iteration 7, total loss: 0.025354599580168724, discriminative loss: 7.736924171447754
Iteration 8, total loss: 0.023614324629306793, discriminative loss: 7.617624282836914
Iteration 9, total loss: 0.01924380473792553, discriminative loss: 7.343069076538086
Iteration 10, total loss: 0.014300895854830742, discriminative loss: 7.89862060546875
Iteration 11, total loss: 0.015527508221566677, discriminative loss: 7.570673942565918
Iteration 12, total loss: 0.013138473965227604, discriminative loss: 7.6914143562316895
Iteration 13, total loss: 0.012181814759969711, discriminative loss: 7.719691753387451
Iteration 14, total loss: 0.010938703082501888, discriminative loss: 7.745357990264893
Iteration 15, total loss: 0.01105252280831337, discriminative loss: 7.537734031677246
Iteration 16, total loss: 0.008831627666950226, discriminative loss: 7.5042595863342285
Iteration 17, total loss: 0.009440500289201736, discriminative loss: 7.802116394042969
Iteration 18, total loss: 0.007545124739408493, discriminative loss: 7.321817398071289
Iteration 19, total loss: 0.007350455038249493, discriminative loss: 7.687936305999756
Iteration 20, total loss: 0.006151934619992971, discriminative loss: 7.46852970123291
Iteration 21, total loss: 0.006616772152483463, discriminative loss: 7.642501354217529
Iteration 22, total loss: 0.006452865432947874, discriminative loss: 7.770692348480225
Iteration 23, total loss: 0.005585715640336275, discriminative loss: 7.561142921447754
Iteration 24, total loss: 0.005587182939052582, discriminative loss: 7.409521102905273
