Config: rmsprop, lambda=1.0, batch size=64, epochs=2

Using TensorFlow backend.
Reference model built
Secondary model built
Total number of iterations: 664
2018-06-24 08:44:50.041039: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 1.33GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:50.241776: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.40GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:50.397448: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.22GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:50.776597: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.25GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:50.944945: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.58GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:51.651344: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.05GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:52.301247: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.45GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:52.551733: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.45GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
Iteration 0, total loss: 8.062716484069824, discriminative loss: 7.980335235595703
Iteration 1, total loss: 39459.5546875, discriminative loss: 16.11809539794922
Iteration 2, total loss: 7.139660835266113, discriminative loss: 7.139660835266113
Iteration 3, total loss: 7.31856107711792, discriminative loss: 7.318560600280762
Iteration 4, total loss: 7.134847640991211, discriminative loss: 7.134847640991211
Iteration 5, total loss: 7.0829010009765625, discriminative loss: 7.0829010009765625
Iteration 6, total loss: 7.264760971069336, discriminative loss: 7.264760971069336
Iteration 7, total loss: 7.138072967529297, discriminative loss: 7.138072967529297
Iteration 8, total loss: 7.150516510009766, discriminative loss: 7.150516510009766
Iteration 9, total loss: 7.056332111358643, discriminative loss: 7.056332111358643
Iteration 10, total loss: 7.112748146057129, discriminative loss: 7.112748146057129
Iteration 11, total loss: 7.027629852294922, discriminative loss: 7.027629852294922
Iteration 12, total loss: 7.370945930480957, discriminative loss: 7.370945930480957
Iteration 13, total loss: 7.185376167297363, discriminative loss: 7.185376167297363
Iteration 14, total loss: 7.103299140930176, discriminative loss: 7.103299140930176
Iteration 15, total loss: 7.112648010253906, discriminative loss: 7.112648010253906
Iteration 16, total loss: 7.227814674377441, discriminative loss: 7.227814674377441
Iteration 17, total loss: 7.025620460510254, discriminative loss: 7.025620460510254
Iteration 18, total loss: 7.100925445556641, discriminative loss: 7.100925445556641
Iteration 19, total loss: 7.157919883728027, discriminative loss: 7.157919883728027
Iteration 20, total loss: 7.25523567199707, discriminative loss: 7.25523567199707
Iteration 21, total loss: 6.991251468658447, discriminative loss: 6.991251468658447
Iteration 22, total loss: 7.079418659210205, discriminative loss: 7.079418659210205
Iteration 23, total loss: 7.064194202423096, discriminative loss: 7.064194202423096
Iteration 24, total loss: 7.147076606750488, discriminative loss: 7.147076606750488
Iteration 25, total loss: 7.0921430587768555, discriminative loss: 7.0921430587768555
Iteration 26, total loss: 7.098862648010254, discriminative loss: 7.098862648010254
Iteration 27, total loss: 7.195861339569092, discriminative loss: 7.195861339569092
Iteration 28, total loss: 7.0939741134643555, discriminative loss: 7.0939741134643555
Iteration 29, total loss: 7.240955352783203, discriminative loss: 7.240955352783203
Iteration 30, total loss: 7.155092239379883, discriminative loss: 7.155092239379883
Iteration 31, total loss: 7.013692855834961, discriminative loss: 7.013692855834961
Iteration 32, total loss: 7.155616760253906, discriminative loss: 7.155616760253906
Iteration 33, total loss: 7.294292449951172, discriminative loss: 7.294292449951172
Iteration 34, total loss: 7.2278547286987305, discriminative loss: 7.2278547286987305
Iteration 35, total loss: 7.104203701019287, discriminative loss: 7.104203701019287
Iteration 36, total loss: 7.232457160949707, discriminative loss: 7.232457160949707
Iteration 37, total loss: 7.17879581451416, discriminative loss: 7.17879581451416
Iteration 38, total loss: 7.068205833435059, discriminative loss: 7.068205833435059
Iteration 39, total loss: 6.937249660491943, discriminative loss: 6.937249660491943
Iteration 40, total loss: 7.04807186126709, discriminative loss: 7.04807186126709
Iteration 41, total loss: 7.282521724700928, discriminative loss: 7.2825212478637695
Iteration 42, total loss: 6.997776031494141, discriminative loss: 6.997776031494141
Iteration 43, total loss: 7.182571887969971, discriminative loss: 7.182571887969971
Iteration 44, total loss: 7.1699371337890625, discriminative loss: 7.1699371337890625
Iteration 45, total loss: 7.277179718017578, discriminative loss: 7.277179718017578
Iteration 46, total loss: 7.093015670776367, discriminative loss: 7.093015670776367
Iteration 47, total loss: 7.15260124206543, discriminative loss: 7.15260124206543
Iteration 48, total loss: 7.186295032501221, discriminative loss: 7.186295032501221
Iteration 49, total loss: 7.065417289733887, discriminative loss: 7.065417289733887
Iteration 50, total loss: 7.1008405685424805, discriminative loss: 7.1008405685424805
Iteration 51, total loss: 7.3166632652282715, discriminative loss: 7.3166632652282715
Iteration 52, total loss: 7.142034530639648, discriminative loss: 7.142034530639648
Iteration 53, total loss: 7.190276145935059, discriminative loss: 7.190276145935059
Iteration 54, total loss: 7.202827453613281, discriminative loss: 7.202827453613281
Iteration 55, total loss: 7.087725639343262, discriminative loss: 7.087725639343262
Iteration 56, total loss: 7.1531171798706055, discriminative loss: 7.1531171798706055
Iteration 57, total loss: 7.091765403747559, discriminative loss: 7.091765403747559
Iteration 58, total loss: 7.064155101776123, discriminative loss: 7.064155101776123
Iteration 59, total loss: 7.265395164489746, discriminative loss: 7.265395164489746
Iteration 60, total loss: 7.1763081550598145, discriminative loss: 7.1763081550598145
Iteration 61, total loss: 7.115261554718018, discriminative loss: 7.115261554718018
Iteration 62, total loss: 7.074527740478516, discriminative loss: 7.074527740478516
Iteration 63, total loss: 7.272480010986328, discriminative loss: 7.272480010986328
Iteration 64, total loss: 7.301041603088379, discriminative loss: 7.301041603088379
Iteration 65, total loss: 7.109461784362793, discriminative loss: 7.109461784362793
Iteration 66, total loss: 7.248476028442383, discriminative loss: 7.248476028442383
Iteration 67, total loss: 7.099713325500488, discriminative loss: 7.099713325500488
Iteration 68, total loss: 7.062453746795654, discriminative loss: 7.062453746795654
Iteration 69, total loss: 7.000149726867676, discriminative loss: 7.000149726867676
Iteration 70, total loss: 7.249621391296387, discriminative loss: 7.249621391296387
Iteration 71, total loss: 7.180052280426025, discriminative loss: 7.180052280426025
Iteration 72, total loss: 7.270117282867432, discriminative loss: 7.270117282867432
Iteration 73, total loss: 7.320404529571533, discriminative loss: 7.320404529571533
Iteration 74, total loss: 7.193145751953125, discriminative loss: 7.193145751953125
Iteration 75, total loss: 7.151289939880371, discriminative loss: 7.151289939880371
Iteration 76, total loss: 7.098020553588867, discriminative loss: 7.098020553588867
Iteration 77, total loss: 7.0587921142578125, discriminative loss: 7.0587921142578125
Iteration 78, total loss: 7.2958269119262695, discriminative loss: 7.2958269119262695
Iteration 79, total loss: 7.335893154144287, discriminative loss: 7.335893154144287
Iteration 80, total loss: 7.243827819824219, discriminative loss: 7.243827819824219
Iteration 81, total loss: 7.207235336303711, discriminative loss: 7.207235336303711
Iteration 82, total loss: 7.271271705627441, discriminative loss: 7.271271705627441
Iteration 83, total loss: 7.2112202644348145, discriminative loss: 7.2112202644348145
Iteration 84, total loss: 7.291487216949463, discriminative loss: 7.291487216949463
Iteration 85, total loss: 7.148392677307129, discriminative loss: 7.148392677307129
Iteration 86, total loss: 7.165584087371826, discriminative loss: 7.165584087371826
Iteration 87, total loss: 7.26659631729126, discriminative loss: 7.26659631729126
Iteration 88, total loss: 7.145114898681641, discriminative loss: 7.145114898681641
Iteration 89, total loss: 7.0505266189575195, discriminative loss: 7.0505266189575195
Iteration 90, total loss: 7.044618606567383, discriminative loss: 7.044618606567383
Iteration 91, total loss: 7.060848236083984, discriminative loss: 7.060848236083984
Iteration 92, total loss: 7.080726623535156, discriminative loss: 7.080726623535156
Iteration 93, total loss: 7.131381988525391, discriminative loss: 7.131381988525391
Iteration 94, total loss: 7.19254207611084, discriminative loss: 7.19254207611084
Iteration 95, total loss: 7.1015520095825195, discriminative loss: 7.1015520095825195
Iteration 96, total loss: 7.046523094177246, discriminative loss: 7.046523094177246
Iteration 97, total loss: 7.105826377868652, discriminative loss: 7.105826377868652
Iteration 98, total loss: 7.222717761993408, discriminative loss: 7.222717761993408
Iteration 99, total loss: 7.112527370452881, discriminative loss: 7.112527370452881
Iteration 100, total loss: 7.2415876388549805, discriminative loss: 7.2415876388549805
Iteration 101, total loss: 7.107922554016113, discriminative loss: 7.107922554016113
Iteration 102, total loss: 7.200002670288086, discriminative loss: 7.200002670288086
Iteration 103, total loss: 7.077570915222168, discriminative loss: 7.077570915222168
Iteration 104, total loss: 7.190648078918457, discriminative loss: 7.190648078918457
Iteration 105, total loss: 7.092473030090332, discriminative loss: 7.092473030090332
Iteration 106, total loss: 7.110415935516357, discriminative loss: 7.110415935516357
Iteration 107, total loss: 7.149158000946045, discriminative loss: 7.149158000946045
Iteration 108, total loss: 7.136148452758789, discriminative loss: 7.136148452758789
Iteration 109, total loss: 7.05432653427124, discriminative loss: 7.05432653427124
Iteration 110, total loss: 7.081526279449463, discriminative loss: 7.081526279449463
Iteration 111, total loss: 7.193907260894775, discriminative loss: 7.193907260894775
Iteration 112, total loss: 7.135023593902588, discriminative loss: 7.135023593902588
Iteration 113, total loss: 6.978020668029785, discriminative loss: 6.978020668029785
Iteration 114, total loss: 7.140803337097168, discriminative loss: 7.140803337097168
Iteration 115, total loss: 7.168265342712402, discriminative loss: 7.168265342712402
Iteration 116, total loss: 7.052964210510254, discriminative loss: 7.052964210510254
Iteration 117, total loss: 7.028408050537109, discriminative loss: 7.028408050537109
Iteration 118, total loss: 7.077877998352051, discriminative loss: 7.077877998352051
Iteration 119, total loss: 7.180729389190674, discriminative loss: 7.180729389190674
Iteration 120, total loss: 7.190478324890137, discriminative loss: 7.190478324890137
Iteration 121, total loss: 7.189280986785889, discriminative loss: 7.189280986785889
Iteration 122, total loss: 7.272194862365723, discriminative loss: 7.272194862365723
Iteration 123, total loss: 7.297467231750488, discriminative loss: 7.297467231750488
Iteration 124, total loss: 7.360835075378418, discriminative loss: 7.360835075378418
Iteration 125, total loss: 7.331593990325928, discriminative loss: 7.331593990325928
Iteration 126, total loss: 7.002127647399902, discriminative loss: 7.002127647399902
Iteration 127, total loss: 7.236699104309082, discriminative loss: 7.236699104309082
Iteration 128, total loss: 7.306931972503662, discriminative loss: 7.306931972503662
Iteration 129, total loss: 7.2409515380859375, discriminative loss: 7.2409515380859375
Iteration 130, total loss: 7.304173469543457, discriminative loss: 7.304173469543457
Iteration 131, total loss: 7.246077537536621, discriminative loss: 7.246077537536621
Iteration 132, total loss: 7.206157207489014, discriminative loss: 7.206157207489014
Iteration 133, total loss: 7.263998031616211, discriminative loss: 7.263998031616211
Iteration 134, total loss: 7.286199569702148, discriminative loss: 7.286199569702148
Iteration 135, total loss: 7.241447925567627, discriminative loss: 7.241447925567627
Iteration 136, total loss: 7.213070392608643, discriminative loss: 7.213070392608643
Iteration 137, total loss: 7.302596569061279, discriminative loss: 7.302596569061279
Iteration 138, total loss: 7.069338798522949, discriminative loss: 7.069338798522949
Iteration 139, total loss: 7.1742095947265625, discriminative loss: 7.1742095947265625
Iteration 140, total loss: 7.1078667640686035, discriminative loss: 7.1078667640686035
Iteration 141, total loss: 7.077131271362305, discriminative loss: 7.077131271362305
Iteration 142, total loss: 7.159543037414551, discriminative loss: 7.159543037414551
Iteration 143, total loss: 7.38172721862793, discriminative loss: 7.38172721862793
Iteration 144, total loss: 7.10044002532959, discriminative loss: 7.10044002532959
Iteration 145, total loss: 7.242070198059082, discriminative loss: 7.242070198059082
Iteration 146, total loss: 7.186799049377441, discriminative loss: 7.186799049377441
Iteration 147, total loss: 7.134106636047363, discriminative loss: 7.134106636047363
Iteration 148, total loss: 7.201342582702637, discriminative loss: 7.201342582702637
Iteration 149, total loss: 7.287282943725586, discriminative loss: 7.287282943725586
Iteration 150, total loss: 7.232729911804199, discriminative loss: 7.232729911804199
Iteration 151, total loss: 7.218323707580566, discriminative loss: 7.218323707580566
Iteration 152, total loss: 7.046499252319336, discriminative loss: 7.046499252319336
Iteration 153, total loss: 7.010210037231445, discriminative loss: 7.010210037231445
Iteration 154, total loss: 7.134365081787109, discriminative loss: 7.134365081787109
Iteration 155, total loss: 7.1305694580078125, discriminative loss: 7.1305694580078125
Iteration 156, total loss: 7.16876220703125, discriminative loss: 7.16876220703125
Iteration 157, total loss: 7.220133304595947, discriminative loss: 7.220133304595947
Iteration 158, total loss: 7.173818588256836, discriminative loss: 7.173818588256836
Iteration 159, total loss: 6.994693756103516, discriminative loss: 6.994693756103516
Iteration 160, total loss: 7.180008411407471, discriminative loss: 7.180008411407471
Iteration 161, total loss: 7.261264801025391, discriminative loss: 7.261264801025391
Iteration 162, total loss: 7.148362636566162, discriminative loss: 7.148362636566162
Iteration 163, total loss: 7.181939125061035, discriminative loss: 7.181939125061035
Iteration 164, total loss: 7.431670188903809, discriminative loss: 7.431670188903809
Iteration 165, total loss: 7.274555206298828, discriminative loss: 7.274555206298828
Iteration 166, total loss: 7.225460052490234, discriminative loss: 7.225460052490234
